K,Mode,Time,ObjFun
2,3,0.002161,1822.470093
2,0,0.000085,2310.872314
2,1,0.000426,2310.872314
2,2,0.003240,2310.872314
2,3,0.002619,2310.872314
2,0,0.000047,2310.872314
2,1,0.002975,2310.872314
2,2,0.003413,2310.872314
2,3,0.005485,2310.872314
3,0,0.000071,683.626892
3,1,0.002068,683.626892
3,2,0.003873,683.626892
3,3,0.002488,683.626892
3,0,0.000071,683.626892
3,1,0.002105,683.626892
3,2,0.003986,683.626892
3,3,0.004888,683.626892
3,0,0.000062,683.626892
3,1,0.003764,683.626892
3,2,0.003857,683.626892
3,3,0.003289,683.626892
3,0,0.000059,683.626953
3,1,0.002576,683.626953
3,2,0.003281,683.626953
3,3,0.005381,683.626953
3,0,0.000051,683.626953
3,1,0.002135,683.626953
3,2,0.003213,683.626953
3,3,0.004651,683.626953
3,0,0.000055,683.626953
3,1,0.002097,683.626953
3,2,0.003276,683.626953
3,3,0.006596,683.626953
3,0,0.000101,683.626953
3,1,0.000493,683.626953
3,2,0.003250,683.626953
3,3,0.004191,683.626953
3,0,0.000100,683.626953
3,1,0.000443,683.626953
3,2,0.003444,683.626953
3,3,0.002727,683.626953
3,0,0.000061,1084.853027
3,1,0.002737,1084.853027
3,2,0.002692,1084.853027
3,3,0.004594,1084.853027
3,0,0.000057,1084.853027
3,1,0.002739,1084.853027
3,2,0.002415,1084.853027
3,3,0.003290,1084.853027
3,0,0.000054,1084.853027
3,1,0.000454,1084.853027
3,2,0.002187,1084.853027
3,3,0.003301,1084.853027
3,0,0.000054,1206.379517
3,1,0.002203,1206.379517
3,2,0.003497,1206.379517
3,3,0.005015,1206.379517
3,0,0.000098,1206.379517
3,1,0.000400,1206.379517
3,2,0.003191,1206.379517
3,3,0.003370,1206.379517
3,0,0.000073,1799.133545
3,1,0.002201,1799.133545
3,2,0.004096,1799.133545
3,3,0.002610,1799.133545
3,0,0.000065,1799.133545
3,1,0.002145,1799.133545
3,2,0.003752,1799.133545
3,3,0.004682,1799.133545
3,0,0.000065,1799.133545
3,1,0.002641,1799.133545
3,2,0.003758,1799.133545
3,3,0.005049,1799.133545
3,0,0.000046,1799.133545
3,1,0.002105,1799.133545
3,2,0.003266,1799.133545
3,3,0.002611,1799.133545
3,0,0.000084,1799.133545
3,1,0.000409,1799.133545
3,2,0.003167,1799.133545
3,3,0.004102,1799.133545
3,0,0.000040,1799.133545
3,1,0.002589,1799.133545
3,2,0.003344,1799.133545
3,3,0.002631,1799.133545
3,0,0.000072,683.626953
3,1,0.002114,683.626953
3,2,0.003693,683.626953
3,3,0.003382,683.626953
3,0,0.000135,683.626953
3,1,0.000447,683.626953
3,2,0.004071,683.626953
3,3,0.007264,683.626953
3,0,0.000056,683.626892
3,1,0.002651,683.626892
3,2,0.002752,683.626892
3,3,0.003026,683.626892
3,0,0.000063,683.626892
3,1,0.000520,683.626892
3,2,0.002758,683.626892
3,3,0.002939,683.626892
3,0,0.000059,683.626892
3,1,0.000437,683.626892
3,2,0.002365,683.626892
3,3,0.006993,683.626892
3,0,0.000056,683.626892
3,1,0.000456,683.626892
3,2,0.002670,683.626892
3,3,0.002077,683.626892
3,0,0.000043,683.626892
3,1,0.002585,683.626892
3,2,0.002889,683.626892
3,3,0.002172,683.626892
3,0,0.000050,683.626892
3,1,0.000576,683.626892
3,2,0.002976,683.626892
3,3,0.002737,683.626892
3,0,0.000057,683.626892
3,1,0.003762,683.626892
3,2,0.002743,683.626892
3,3,0.002797,683.626892
3,0,0.000055,683.626892
3,1,0.002399,683.626892
3,2,0.002651,683.626892
3,3,0.002112,683.626892
3,0,0.000075,683.626953
3,1,0.002444,683.626953
3,2,0.004272,683.626953
3,3,0.002615,683.626953
4,0,0.000060,67.536224
4,1,0.002740,67.536224
4,2,0.002517,67.536224
4,3,0.002728,67.536224
4,0,0.000070,683.626953
4,1,0.003469,683.626953
4,2,0.002547,683.626953
